epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,learning_rate,epoch_time_sec
1,6.1731372690200805,1.4675,5.715,4.9646197015253,6.9546522673866304,21.168941552922355,0.0009972609476841367,492.4933559894562
2,4.665828644275665,10.39,28.05375,3.3385605090058186,27.003649817509125,55.31723413829309,0.0009890738003669028,559.4298129081726
3,3.7655064301490784,21.51375,46.3125,2.6070536517791765,39.9830008499575,68.61656917154143,0.0009755282581475768,635.4524209499359
4,3.246919859743118,29.70625,56.645,2.1611956811703408,48.86755662216889,76.63616819159041,0.0009567727288213003,660.9014110565186
5,2.892121943473816,35.89625,63.1225,1.8993797668259917,53.862306884655766,80.24598770061498,0.0009330127018922195,622.5769667625427
6,2.6059804067611694,40.97875,68.31625,1.703336308106298,57.69711514424279,83.2208389580521,0.0009045084971874739,592.3429481983185
7,2.3983074761390686,44.54375,71.8425,1.5279123514308064,61.63691815409229,85.50572471376431,0.0008715724127386972,627.1263718605042
8,2.241422870874405,47.75375,74.38,1.3993341033562774,64.78176091195441,86.97565121743912,0.0008345653031794292,699.0979290008545
9,2.0897620698928834,50.71875,76.77375,1.296106982797952,67.00664966751663,88.44557772111395,0.0007938926261462366,716.9313447475433
10,1.9723273673534394,53.22625,78.5825,1.2167129292886714,68.59657017149142,89.5905204739763,0.00075,678.4827499389648
11,1.860019317150116,55.72625,80.1825,1.1388122623449302,70.4414779261037,90.3454827258637,0.0007033683215379003,666.1714599132538
12,1.7786880169391632,56.9125,81.44375,1.0912176644758584,72.11639418029098,90.83545822708865,0.0006545084971874739,652.9622762203217
13,1.6957400067329407,58.75375,82.74625,1.0398674159817418,72.89635518224088,91.52042397880106,0.0006039558454088797,640.7378129959106
14,1.621079181432724,60.4,83.5075,0.9884584774274146,74.24128793560322,92.04039798010099,0.0005522642316338269,622.2575318813324
15,1.5553160313606262,61.92,84.46125,0.9392996738925051,75.29123543822809,92.61036948152592,0.0005000000000000002,606.2525701522827
16,1.4972431870222092,63.3325,85.40875,0.9136265311609011,75.89120543972801,92.86035698215089,0.0004477357683661734,629.3391082286835
17,1.4329672209739686,64.63125,86.19875,0.8822808188621083,76.71616419179041,93.17034148292585,0.00039604415459112036,633.4658708572388
18,1.37817228859663,65.64875,86.87125,0.8674157703556387,77.12614369281536,93.27533623318834,0.0003454915028125264,570.8915700912476
19,1.3385584809303284,66.53375,87.315,0.8315904912194767,77.92110394480277,93.6203189840508,0.00029663167846210003,564.6196920871735
20,1.3004508333683014,67.52375,87.82875,0.8113498277207875,78.47607619619019,93.85030748462577,0.00025000000000000017,572.6867048740387
21,1.2649090025067329,68.175,88.30375,0.7956145792196742,78.92605369731514,93.92030398480075,0.00020610737385376354,582.552357673645
22,1.2345250589251517,68.97,88.68625,0.7786654221818456,79.2010399480026,94.14029298535073,0.00016543469682057108,590.3572950363159
23,1.1975935273885727,69.85125,89.155,0.757491842427079,79.83600819959003,94.3852807359632,0.00012842758726130303,608.8685929775238
24,1.1820602725625038,70.2175,89.30625,0.7456942596326357,79.93600319984,94.4802759862007,9.549150281252637e-05,591.7362139225006
25,1.1559272572398185,70.82,89.66,0.7475867353152122,80.06599670016499,94.34528273586321,6.698729810778068e-05,592.0057780742645
26,1.1318305649876594,71.37625,89.92375,0.7301202288119949,80.46097695115245,94.68026598670066,4.322727117869953e-05,579.4691300392151
27,1.1223439671516418,71.68,90.02375,0.7252633293150877,80.60596970151492,94.68526573671316,2.447174185242324e-05,611.7747550010681
28,1.117451272904873,71.75125,90.005,0.7236579471209974,80.7609619519024,94.61526923653817,1.092619963309716e-05,614.2359249591827
29,1.0990868229150772,72.31625,90.2175,0.7200286290337577,80.81595920203989,94.64026798660068,2.7390523158633003e-06,584.2973868846893
30,1.098647103524208,72.2625,90.3425,0.7262224220620425,80.59597020148992,94.62026898655067,0.0,577.6277461051941
